country,code,numeric,year,democracy
Afghanistan,AFG,4,1990,-8
Afghanistan,AFG,4,2000,-7
Afghanistan,AFG,4,2018,-1
Albania,ALB,8,1990,1
Albania,ALB,8,2000,5
Albania,ALB,8,2010,9
Albania,ALB,8,2018,9
Algeria,DZA,12,1990,-2
Algeria,DZA,12,2000,-3
Algeria,DZA,12,2010,2
Algeria,DZA,12,2018,2
Angola,AGO,24,1990,-7
Angola,AGO,24,2000,-6
Angola,AGO,24,2010,-2
Angola,AGO,24,2018,-2
Argentina,ARG,32,1990,7
Argentina,ARG,32,2000,8
Argentina,ARG,32,2010,8
Argentina,ARG,32,2018,9
Armenia,ARM,51,1990,0
Armenia,ARM,51,2000,5
Armenia,ARM,51,2010,5
Armenia,ARM,51,2018,7
Australia,AUS,36,1990,10
Australia,AUS,36,2000,10
Australia,AUS,36,2010,10
Australia,AUS,36,2018,10
Austria,AUT,40,1990,10
Austria,AUT,40,2000,10
Austria,AUT,40,2010,10
Austria,AUT,40,2018,10
Azerbaijan,AZE,31,1990,0
Azerbaijan,AZE,31,2000,-7
Azerbaijan,AZE,31,2010,-7
Azerbaijan,AZE,31,2018,-7
Bahrain,BHR,48,1990,-10
Bahrain,BHR,48,2000,-9
Bahrain,BHR,48,2010,-5
Bahrain,BHR,48,2018,-10
Bangladesh,BGD,50,1990,-5
Bangladesh,BGD,50,2000,6
Bangladesh,BGD,50,2010,5
Bangladesh,BGD,50,2018,-6
Belarus,BLR,112,1990,0
Belarus,BLR,112,2000,-7
Belarus,BLR,112,2010,-7
Belarus,BLR,112,2018,-7
Belgium,BEL,56,1990,10
Belgium,BEL,56,2000,10
Belgium,BEL,56,2010,8
Belgium,BEL,56,2018,8
Benin,BEN,204,1990,-1
Benin,BEN,204,2000,6
Benin,BEN,204,2010,7
Benin,BEN,204,2018,7
Bhutan,BTN,64,1990,-10
Bhutan,BTN,64,2000,-10
Bhutan,BTN,64,2010,3
Bhutan,BTN,64,2018,7
Bolivia,BOL,68,1990,9
Bolivia,BOL,68,2000,9
Bolivia,BOL,68,2010,7
Bolivia,BOL,68,2018,7
Bosnia and Herzegovina,BIH,70,1990,-5
Botswana,BWA,72,1990,7
Botswana,BWA,72,2000,8
Botswana,BWA,72,2010,8
Botswana,BWA,72,2018,8
Brazil,BRA,76,1990,8
Brazil,BRA,76,2000,8
Brazil,BRA,76,2010,8
Brazil,BRA,76,2018,8
Bulgaria,BGR,100,1990,7
Bulgaria,BGR,100,2000,8
Bulgaria,BGR,100,2010,9
Bulgaria,BGR,100,2018,9
Burkina Faso,BFA,854,1990,-7
Burkina Faso,BFA,854,2000,-3
Burkina Faso,BFA,854,2010,0
Burkina Faso,BFA,854,2018,6
Burundi,BDI,108,1990,-6
Burundi,BDI,108,2000,-1
Burundi,BDI,108,2010,6
Burundi,BDI,108,2018,-1
Cambodia,KHM,116,1990,-5
Cambodia,KHM,116,2000,2
Cambodia,KHM,116,2010,2
Cambodia,KHM,116,2018,-4
Cameroon,CMR,120,1990,-3
Cameroon,CMR,120,2000,-5
Cameroon,CMR,120,2010,-5
Cameroon,CMR,120,2018,-5
Canada,CAN,124,1990,10
Canada,CAN,124,2000,10
Canada,CAN,124,2010,10
Canada,CAN,124,2018,10
Cabo Verde,CPV,132,1990,-2
Cabo Verde,CPV,132,2000,8
Cabo Verde,CPV,132,2010,10
Cabo Verde,CPV,132,2018,10
Central African Republic,CAF,140,1990,-7
Central African Republic,CAF,140,2000,5
Central African Republic,CAF,140,2010,-1
Central African Republic,CAF,140,2018,6
Chad,TCD,148,1990,-3
Chad,TCD,148,2000,-1
Chad,TCD,148,2010,-1
Chad,TCD,148,2018,-1
Chile,CHL,152,1990,8
Chile,CHL,152,2000,9
Chile,CHL,152,2010,10
Chile,CHL,152,2018,10
China,CHN,156,1990,-7
China,CHN,156,2000,-7
China,CHN,156,2010,-7
China,CHN,156,2018,-7
Colombia,COL,170,1990,8
Colombia,COL,170,2000,7
Colombia,COL,170,2010,7
Colombia,COL,170,2018,7
Comoros,COM,174,1990,4
Comoros,COM,174,2000,-1
Comoros,COM,174,2010,9
Comoros,COM,174,2018,-3
Congo,COG,178,1990,-8
Congo,COG,178,2000,-6
Congo,COG,178,2010,-4
Congo,COG,178,2018,-4
Costa Rica,CRI,188,1990,10
Costa Rica,CRI,188,2000,10
Costa Rica,CRI,188,2010,10
Costa Rica,CRI,188,2018,10
C™te d'Ivoire,CIV,384,1990,-7
C™te d'Ivoire,CIV,384,2000,4
C™te d'Ivoire,CIV,384,2010,0
C™te d'Ivoire,CIV,384,2018,4
Croatia,HRV,191,1990,-5
Croatia,HRV,191,2000,8
Croatia,HRV,191,2010,9
Croatia,HRV,191,2018,9
Cuba,CUB,192,1990,-7
Cuba,CUB,192,2000,-7
Cuba,CUB,192,2010,-7
Cuba,CUB,192,2018,-5
Cyprus,CYP,196,1990,10
Cyprus,CYP,196,2000,10
Cyprus,CYP,196,2010,10
Cyprus,CYP,196,2018,10
Czechia,CZE,203,1990,7
Czechia,CZE,203,2000,10
Czechia,CZE,203,2010,9
Czechia,CZE,203,2018,9
Democratic Republic of Congo,COD,180,1990,-8
Democratic Republic of Congo,COD,180,2000,0
Democratic Republic of Congo,COD,180,2010,5
Democratic Republic of Congo,COD,180,2018,-3
Denmark,DNK,208,1990,10
Denmark,DNK,208,2000,10
Denmark,DNK,208,2010,10
Denmark,DNK,208,2018,10
Djibouti,DJI,262,1990,-8
Djibouti,DJI,262,2000,1
Djibouti,DJI,262,2010,2
Djibouti,DJI,262,2018,3
Dominican Republic,DOM,214,1990,5
Dominican Republic,DOM,214,2000,8
Dominican Republic,DOM,214,2010,8
Dominican Republic,DOM,214,2018,7
Timor-Leste,TLS,626,2010,7
Timor-Leste,TLS,626,2018,8
Ecuador,ECU,218,1990,9
Ecuador,ECU,218,2000,6
Ecuador,ECU,218,2010,5
Ecuador,ECU,218,2018,5
Egypt,EGY,818,1990,-6
Egypt,EGY,818,2000,-6
Egypt,EGY,818,2010,-3
Egypt,EGY,818,2018,-4
El Salvador,SLV,222,1990,6
El Salvador,SLV,222,2000,7
El Salvador,SLV,222,2010,8
El Salvador,SLV,222,2018,8
Equatorial Guinea,GNQ,226,1990,-7
Equatorial Guinea,GNQ,226,2000,-6
Equatorial Guinea,GNQ,226,2010,-6
Equatorial Guinea,GNQ,226,2018,-6
